Latitude,Longitude,,,,,
56.00549N,3.51695W,,,,,
56.00549N,3.51697W,,,,,
56.00548N,3.51697W,,,,,
56.0054N,3.51701W,,,,,
56.00512N,3.51748W,,,,,
56.00486N,3.51793W,,,,,
56.00463N,3.51847W,,,,,
56.00422N,3.51953W,,,,,
56.00398N,3.52114W,,,,,
56.00352N,3.52195W,,,,,
56.00295N,3.52334W,,,,,
56.00286N,3.5263W,,,,,
56.00102N,3.528W,,,,,
55.99936N,3.52932W,,,,,
55.99891N,3.5331W,,,,,
55.99876N,3.536W,,,,,
55.99866N,3.53806W,,,,,
55.99827N,3.54181W,,,,,
55.99762N,3.54608W,,,,,
55.99581N,3.54912W,,,,,
55.99528N,3.55345W,,,,,
55.9945N,3.55715W,,,,,
55.99434N,3.56103W,,,,,
55.99247N,3.56103W,,,,,
55.98963N,3.56318W,,,,,
55.98663N,3.56495W,,,,,
55.98519N,3.57084W,,,,,
55.9846N,3.57601W,,,,,
55.984N,3.58151W,,,,,
55.98304N,3.5865W,,,,,
